filename,relative_path,file_type,file_size_kb,document_type,keywords,content_preview
17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,.pptx,11294.2939453125,general,,PPTX 라이브러리 없음
bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,.docx,1552.73046875,general,,DOCX 라이브러리 없음
a1fd95b6d240479aa1cf053b8031444f_20250821_175103.pptx,a1fd95b6d240479aa1cf053b8031444f_20250821_175103.pptx,.pptx,3457.091796875,general,,PPTX 라이브러리 없음
b624ac3ac89246a88c2a426928f954cd_20250814_171209.docx,b624ac3ac89246a88c2a426928f954cd_20250814_171209.docx,.docx,58.720703125,general,,DOCX 라이브러리 없음
9b428859b681438b9fb95a6358d50f87_20250814_171210.docx,9b428859b681438b9fb95a6358d50f87_20250814_171210.docx,.docx,1672.6240234375,general,,DOCX 라이브러리 없음
c52c407d4156413996d24e170af8559b_20250814_171209.docx,c52c407d4156413996d24e170af8559b_20250814_171209.docx,.docx,227.6474609375,general,,DOCX 라이브러리 없음
929a34e3a92545dc8950ce92c5eba021_20250908_165335.pdf,929a34e3a92545dc8950ce92c5eba021_20250908_165335.pdf,.pdf,12130.9248046875,general,,PDF 라이브러리 없음
91108485628a41c885b097e42171f4d6_20250814_171207.docx,91108485628a41c885b097e42171f4d6_20250814_171207.docx,.docx,129.6904296875,general,,DOCX 라이브러리 없음
35d67255476b49aaa822bf6acf5472c1_20250814_171207.docx,35d67255476b49aaa822bf6acf5472c1_20250814_171207.docx,.docx,86.8076171875,general,,DOCX 라이브러리 없음
11176121f1cc4d329b29699c325d6815_20250814_171208.docx,11176121f1cc4d329b29699c325d6815_20250814_171208.docx,.docx,1617.501953125,general,,DOCX 라이브러리 없음
6956672296cf4dd2a7dbb5f37ab44d5a_20250814_171208.docx,6956672296cf4dd2a7dbb5f37ab44d5a_20250814_171208.docx,.docx,1661.48046875,general,,DOCX 라이브러리 없음
13d36bbda3384e659b86551e575727ed_20250814_171209.docx,13d36bbda3384e659b86551e575727ed_20250814_171209.docx,.docx,175.578125,general,,DOCX 라이브러리 없음
a4694d4f5da9432ca11f08f4253bf8b0_20250814_171209.docx,a4694d4f5da9432ca11f08f4253bf8b0_20250814_171209.docx,.docx,227.3662109375,general,,DOCX 라이브러리 없음
6c8ce576bb1249519850d2a0df68f59f_20250814_151909.pptx,6c8ce576bb1249519850d2a0df68f59f_20250814_151909.pptx,.pptx,12985.8330078125,general,,PPTX 라이브러리 없음
c1fa519ca0624143aeda6dcc78838fa0_20250814_171208.docx,c1fa519ca0624143aeda6dcc78838fa0_20250814_171208.docx,.docx,351.818359375,general,,DOCX 라이브러리 없음
e3655e4d2f254f2180d0c5047d7b24d4_20250814_171208.docx,e3655e4d2f254f2180d0c5047d7b24d4_20250814_171208.docx,.docx,1762.037109375,general,,DOCX 라이브러리 없음
b38d782b72ff412c97d48e1ee53764b5_20250809_110606.pptx,b38d782b72ff412c97d48e1ee53764b5_20250809_110606.pptx,.pptx,38868.13671875,general,,PPTX 라이브러리 없음
quick_presentation_스마트_인슐린_펌프_제품_소개자료_backup.pptx,quick_presentation_스마트_인슐린_펌프_제품_소개자료_backup.pptx,.pptx,40.1943359375,general,,PPTX 라이브러리 없음
dbe6c8422af6464eb2c2d92e71f6e539_20250910_162933.pdf,dbe6c8422af6464eb2c2d92e71f6e539_20250910_162933.pdf,.pdf,1293.6064453125,general,,PDF 라이브러리 없음
제품소개서 샘플.pptx,templates/제품소개서 샘플.pptx,.pptx,3403.322265625,general,,PPTX 라이브러리 없음
설계서도식.pptx,templates/설계서도식.pptx,.pptx,38.466796875,general,,PPTX 라이브러리 없음
user_제품소개서 샘플.pptx,templates/user_templates/user_제품소개서 샘플.pptx,.pptx,3399.5224609375,general,,PPTX 라이브러리 없음
user_비즈니스 034.pptx,templates/user_templates/user_비즈니스 034.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
user_Clean Business Template.pptx,templates/user_templates/user_Clean Business Template.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
user_Clean 제품소개서 샘플.pptx,templates/user_templates/user_Clean 제품소개서 샘플.pptx,.pptx,3399.5224609375,general,,PPTX 라이브러리 없음
user_Ultra Clean 제품소개서 샘플.pptx,templates/user_templates/user_Ultra Clean 제품소개서 샘플.pptx,.pptx,3399.5224609375,general,,PPTX 라이브러리 없음
user_Clean Ppt Template.pptx,templates/user_templates/user_Clean Ppt Template.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
user_Business Template.pptx,templates/user_templates/user_Business Template.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
user_Clean Ultra Clean 제품소개서 샘플.pptx,templates/user_templates/user_Clean Ultra Clean 제품소개서 샘플.pptx,.pptx,3399.5224609375,general,,PPTX 라이브러리 없음
user_비즈니스 기본.pptx,templates/user_templates/user_비즈니스 기본.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
ppt_template.pptx,templates/backup_templates/ppt_template.pptx,.pptx,28.5244140625,general,,PPTX 라이브러리 없음
clean_business_template.pptx,templates/backup_templates/clean_business_template.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
clean_ppt_template.pptx,templates/backup_templates/clean_ppt_template.pptx,.pptx,28.3818359375,general,,PPTX 라이브러리 없음
business_template.pptx,templates/backup_templates/business_template.pptx,.pptx,28.5244140625,general,,PPTX 라이브러리 없음
25_QMS_DesignControl_SOP_KO_v0.2.pdf,pdf_cache/25_QMS_DesignControl_SOP_KO_v0.2.pdf,.pdf,192.7890625,general,,PDF 라이브러리 없음
20_ProductSpec_SmartInsulinPump_KO_v0.1.pdf,pdf_cache/20_ProductSpec_SmartInsulinPump_KO_v0.1.pdf,.pdf,323.470703125,general,,PDF 라이브러리 없음
13_1206_SK매직ITO_제안서_v1.0.pdf,pdf_cache/13_1206_SK매직ITO_제안서_v1.0.pdf,.pdf,8620.34375,general,,PDF 라이브러리 없음
26_UserPersona_Journey_KO_v0.2.pdf,pdf_cache/26_UserPersona_Journey_KO_v0.2.pdf,.pdf,495.4384765625,general,,PDF 라이브러리 없음
11_[원본]에너지공대_발표자료_1104.pdf,pdf_cache/11_[원본]에너지공대_발표자료_1104.pdf,.pdf,6680.0751953125,general,,PDF 라이브러리 없음
12_SK매직_MS_fabric제안_기능정리_v250513.pdf,pdf_cache/12_SK매직_MS_fabric제안_기능정리_v250513.pdf,.pdf,1487.9619140625,general,,PDF 라이브러리 없음
15_Regulatory_Overview_US_EU_KO_v0.2.pdf,pdf_cache/15_Regulatory_Overview_US_EU_KO_v0.2.pdf,.pdf,226.04296875,general,,PDF 라이브러리 없음
template_설계서도식.pdf,pdf_cache/template_설계서도식.pdf,.pdf,19.193359375,general,,PDF 라이브러리 없음
24_Roadmap_ReleasePlan_KO_v0.3c.pdf,pdf_cache/24_Roadmap_ReleasePlan_KO_v0.3c.pdf,.pdf,345.7099609375,general,,PDF 라이브러리 없음
14_1206_SK매직ITO_제안서_v1.0.pdf,pdf_cache/14_1206_SK매직ITO_제안서_v1.0.pdf,.pdf,8620.34375,general,,PDF 라이브러리 없음
27_제품소개서 샘플.pdf,pdf_cache/27_제품소개서 샘플.pdf,.pdf,402.9482421875,general,,PDF 라이브러리 없음
21_CaseStudies_SmartInsulinPump_KO_v0.2.pdf,pdf_cache/21_CaseStudies_SmartInsulinPump_KO_v0.2.pdf,.pdf,509.396484375,general,,PDF 라이브러리 없음
template_제품소개서_샘플.pdf,pdf_cache/template_제품소개서_샘플.pdf,.pdf,403.3125,general,,PDF 라이브러리 없음
10_[사본]에너지공대_발표자료_1104.pdf,pdf_cache/10_[사본]에너지공대_발표자료_1104.pdf,.pdf,6632.474609375,general,,PDF 라이브러리 없음
17_MarketAnalysis_InsulinPump_KR_US_EU_KO_v0.2.pdf,pdf_cache/17_MarketAnalysis_InsulinPump_KR_US_EU_KO_v0.2.pdf,.pdf,440.9296875,general,,PDF 라이브러리 없음
